127.0.0.1 - - [19/Jul/2022:20:30:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:30:23 +0900] "GET /Teamplay_pre/main/HUGO_mainPage.jsp HTTP/1.1" 200 42620
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:30:23 +0900] "GET /Teamplay_pre/main/MainStyle.css?after HTTP/1.1" 200 4897
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:30:23 +0900] "GET /Teamplay_pre/main/MainStyle.css HTTP/1.1" 200 4897
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:30:23 +0900] "GET /Teamplay_pre/img/hugo_white_repair.jpeg HTTP/1.1" 200 130725
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:30:23 +0900] "GET /Teamplay_pre/img/cuteDog.jpeg HTTP/1.1" 200 80719
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:30:23 +0900] "GET /Teamplay_pre/img/cuteCat.jpeg HTTP/1.1" 200 77219
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:30:23 +0900] "GET /Teamplay_pre/img/hugo_white.png HTTP/1.1" 200 293986
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:30:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:31:15 +0900] "GET /Teamplay_pre/eventPage/runningEventPage.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:31:15 +0900] "GET /Teamplay_pre/eventPage/event.css HTTP/1.1" 200 4965
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:31:15 +0900] "GET /Teamplay_pre/eventPage/MainStyle.css?after HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:31:16 +0900] "GET /Teamplay_pre/eventPage/MainStyle.css?after HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [19/Jul/2022:20:33:02 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 5049
