0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:56 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:56 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:52:30 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [11/May/2022:09:52:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:53:36 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [11/May/2022:09:53:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:56:49 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [11/May/2022:09:56:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:57:03 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [11/May/2022:09:57:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:10:05:50 +0900] "GET /html5_2/Pseudo/index2.html HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [11/May/2022:10:07:03 +0900] "GET /html5_2/Pseudo/index2.html HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [11/May/2022:10:07:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:10:32:34 +0900] "GET /html5_2/Pseudo/index3.html HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [11/May/2022:10:34:09 +0900] "GET /html5_2/Pseudo/index3.html HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [11/May/2022:10:34:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
